Título,Año,País
El show de Truman,1998,USA
El misterio de las siete esfer,1981,UK
Full Monty,1997,USA
Full Monty,1997,UK
La gata sobre el tejado de zin,1958,USA
Extraños en un tren (dos versi,1951,USA
El discreto encanto de la burg,1972,France
Espartaco,1960,USA
Y la nave va,1983,Italy
La grande illusion 1,1937,France
La Marsellesa 2,1938,France
El cabo atrapado 3,1962,Francia
La hija del agua 4,1925,
Sur un air de Charleston 5,1927,France
La petite marchande d'allumett,1928,France
Un lugar en el sol,1951,USA
I’m Not There.,2007,USA
Soylent Green: Cuando el desti,1973,USA
¡Viva Zapata!,1952,USA
El señor de la guerra (cine ép,1965,USA
"Julio César, 'El Conquistador",1962,Italy
El último valle (cine épico),1971,UK
Waterloo (cine épico),1970,Italy
La strada (Fellini),1954,Italy
El jeque blanco (Fellini),1952,Italy
El limpiabotas (De Sica),1946,Italy
L'oro di Napoli (De Sica),1954,Italy
Julia,1977,USA
Samaritan Girl,2004,South Korea
Tristram Shandy: A Cock and Bu,2005,UK
Desde Rusia con amor,1963,UK
James Bond contra Goldfinger,1964,UK
Cita a ciegas,1987,USA
Hombres intrépidos,1940,USA
Bella de día,1967,France
El guateque,1968,USA
"Adiós, muchachos",1987,France
El golpe,1973,USA
Un hombre soltero,2009,USA
Con el agua al cuello,1975,USA
Sicko,2007,USA
La huella,1972,USA
Mad Men - Temporada 1,2007,USA
Sinper^gg,1992,USA
ETgeneral de la Rovere,1959,Italy
"Van Gogh, la película",1990,Netherlands
Hannah y sus hermanas,1986,USA
La deuda,2011,USA
Verdades ocultas,2005,Iceland
El niño con el pijama de rayas,2008,UK
Sospecha,1941,USA
El talento de Mr. Ripley,1999,USA
No es país para viejos,2007,USA
Viento en las velas,1965,UK
Tobruk,1967,USA
El silencioso,1973,France
El hombre tranquilo,1952,USA
Sueños de un seductor,1972,USA
Voces de muerte,1948,USA
La última seducción,1994,UK
La terraza,1980,Italy
Las amigas,1955,Italy
Trece asesinos,2010,Japón
El viento que agita la cebada,2006,Ireland
Gomorra,2008,Italy
El día de los tramposos,1970,USA
Viento en las velas,1965,UK
El guateque,1968,USA
La vida de los otros,2006,Germany
Dos en la carretera,1967,
Boys Don't Cry,1999,USA
Muerte entre las flores,1990,USA
Cría cuervos,1976,Spain
Dublineses (Los muertos),1987,UK
El concierto,2009,France
El amigo americano,1977,West Germany
Lakposhtha parvaz mikonand,2004,Irán
Capitanes intrépidos,1937,USA
La carrera del siglo,1965,USA
La gran guerra,1959,Italy
La maldición de la flor dorada,2006,
El cazador,1978,
Inside Job,2010,
Inside Job,2010,USA
Barry Lyndon BLU-Ray,1975,UK
Exposición de amor LOVE EXPOSU,2008,Japan
La isla del tesoro,1934,USA
Vidas rebeldes,1961,USA
Las amistades peligrosas,1988,USA
No estoy solo,1972,Italy
La audiencia,1972,Italy
Así es la vida,2000,México
Las afinidades electivas,1996,Italy
In the Loop,2009,UK
A pleno sol,1960,France 
Fringe: al límite temporada 1,2008,USA 
